DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,GROUND_TIME,latitude_deg,longitude_deg,elevation_ft,LOG_GROUND_TIME
1.0,0.9515458817831891,0.68850618783402,0.8148002893688986,0.7915026004046573,0.016048325351317057,0.06785249033830038,0.005562083588286542,0.7518162937793713,0.705770645114852,0.09628839931731481,-0.14581922567891342,-0.06838618562645203,0.012385011893663679,0.011560418982686395,-0.01044520020353473,0.768513346371774,-0.17855889564920494,0.14553545378029342,0.02320436623583793,0.673726124655966
0.9515458817831891,1.0,0.7299718740235037,0.8396312287654818,0.817076650194608,0.044642037256320294,0.08451763814684238,-0.003442652073653474,0.7811792249173716,0.7298967982071843,0.07467696103579738,-0.12015810013672727,-0.0780400863912904,0.016211746450470625,0.015066090231633378,-0.016788130213702963,0.7904207604271983,-0.14706466045234745,0.1062780039636525,0.015029854956610484,0.6940707910967207
0.68850618783402,0.7299718740235037,1.0,0.7962140273260893,0.788105835528668,0.49802273540650893,0.1943932888176441,0.21056315626892072,0.7757448477823172,0.7553586131009551,0.2025535101387829,-0.004168390893185319,-0.025528509036580924,0.0196231599567788,0.01918161814766116,0.1898051874860028,0.656119403700709,-0.17649946161373734,0.11060178541843763,-0.008124639045279217,0.5949702831918395
0.8148002893688986,0.8396312287654818,0.7962140273260893,1.0,0.9864348146682389,-0.06048070364493938,0.0864122993238191,0.12909126531479387,0.8239031105731369,0.7927580043354346,0.17473683750592445,-0.19342612261999143,-0.03628384436741945,0.015607414578395113,0.014684570061302962,0.10931126788607735,0.7366966486155245,-0.1911526051569139,0.12234304295303165,0.013713924694266147,0.6127993843200089
0.7915026004046573,0.817076650194608,0.788105835528668,0.9864348146682389,1.0,-0.05756176063669733,0.09107294230296845,0.1458654882038395,0.8317545374334717,0.8043025932333214,0.17350620993975777,-0.18795815059563759,-0.04393019452077899,0.021570149659500455,0.02086859433260633,0.1268080182647965,0.7269628989561563,-0.18799247404910038,0.1219496444616205,0.014951347211538728,0.5995974222893257
0.016048325351317057,0.044642037256320294,0.49802273540650893,-0.06048070364493938,-0.05756176063669733,1.0,0.10957542341124425,0.17060873934276533,0.11447367202463511,0.12356579811259727,0.08647766932017197,0.23299270721084808,0.002053961053330665,0.0065576677063906,0.0068019238633766545,0.16439425354575812,0.046062111256619756,-0.009489139728951318,0.0028001125603745445,-0.030326461064325735,0.12617410009502544
0.06785249033830038,0.08451763814684238,0.1943932888176441,0.0864122993238191,0.09107294230296845,0.10957542341124425,1.0,0.07681877414029922,0.14762470291831425,0.1547932633394684,0.0265877555884009,0.05920598780435273,-0.004776622593063266,0.0012277629545662026,0.0009855723982362112,0.07439209781459617,0.07852626512827257,0.002717852075712725,-0.022052085815131576,-0.01963049019023294,0.08483609510509839
0.005562083588286542,-0.003442652073653474,0.21056315626892072,0.12909126531479387,0.1458654882038395,0.17060873934276533,0.07681877414029922,1.0,0.3091953068355407,0.35122913868119304,0.42999758817722256,-0.13982619488723613,0.0655576394138219,-0.0010985113445583787,0.0004956209961100405,0.9729366911100772,0.05124511211859302,-0.32980121834426895,0.17353349534948098,0.017380549326572122,0.20986066229074207
0.7518162937793713,0.7811792249173716,0.7757448477823172,0.8239031105731369,0.8317545374334717,0.11447367202463511,0.14762470291831425,0.3091953068355407,1.0,0.9888964120781164,0.17235805010381702,-0.1347921490685156,-0.05490493192440999,0.0132712076960981,0.012641062657322137,0.29250104057604953,0.7822479172794973,-0.17453319854456967,0.1260198390582827,-0.0033819166094019833,0.652399651224161
0.705770645114852,0.7298967982071843,0.7553586131009551,0.7927580043354346,0.8043025932333214,0.12356579811259727,0.1547932633394684,0.35122913868119304,0.9888964120781164,1.0,0.16790659083119633,-0.12641589687603438,-0.05235002340935605,0.012723211217259023,0.01215628977378499,0.335796305120428,0.6809851878267038,-0.16905101648599696,0.11288011874680437,-0.006707071132320079,0.6188991059672936
0.09628839931731481,0.07467696103579738,0.2025535101387829,0.17473683750592445,0.17350620993975777,0.08647766932017197,0.0265877555884009,0.42999758817722256,0.17235805010381702,0.16790659083119633,1.0,-0.3787880523469007,0.11810542105382596,0.0005301277587944305,0.0022530438365848636,0.3591896663595782,0.14527989546238443,-0.6383968208718827,0.6133700282876303,0.13225934824185406,0.38433987784270063
-0.14581922567891342,-0.12015810013672727,-0.004168390893185319,-0.19342612261999143,-0.18795815059563759,0.23299270721084808,0.05920598780435273,-0.13982619488723613,-0.1347921490685156,-0.12641589687603438,-0.3787880523469007,1.0,-0.012043961619023815,0.014308994574585688,0.01453393744852041,-0.10807791373045082,-0.13401089677327346,0.29832452524296804,-0.28765371927662015,-0.08431531773234349,-0.23020705312082482
-0.06838618562645203,-0.0780400863912904,-0.025528509036580924,-0.03628384436741945,-0.04393019452077899,0.002053961053330665,-0.004776622593063266,0.0655576394138219,-0.05490493192440999,-0.05235002340935605,0.11810542105382596,-0.012043961619023815,1.0,-0.04522524291264502,-0.04654621585874036,0.06150015509600883,-0.051571461926026435,-0.06827388939306922,0.033835579457028336,0.00973433500429243,-0.028449206585547143
