bin_edges,frequency
0.6931471805599453,5537
0.7365179904667832,0
0.7798888003736212,0
0.823259610280459,0
0.866630420187297,0
0.9100012300941349,0
0.9533720400009729,0
0.9967428499078108,0
1.0401136598146488,0
1.0834844697214867,26969
1.1268552796283244,0
1.1702260895351624,0
1.2135968994420003,0
1.2569677093488383,0
1.3003385192556762,0
1.3437093291625142,8790
1.3870801390693521,0
1.43045094897619,0
1.473821758883028,0
1.517192568789866,0
1.560563378696704,0
1.6039341886035419,99212
1.6473049985103798,0
1.6906758084172178,0
1.7340466183240557,0
1.7774174282308937,17725
1.8207882381377316,0
1.8641590480445691,0
1.907529857951407,54711
1.950900667858245,0
1.994271477765083,0
2.037642287671921,13548
2.081013097578759,0
2.124383907485597,0
2.1677547173924347,43828
2.2111255272992727,0
2.2544963372061106,0
2.2978671471129486,14601
2.3412379570197865,0
2.3846087669266245,32271
2.4279795768334624,0
2.4713503867403004,19708
2.5147211966471383,0
2.5580920065539763,89289
2.6014628164608142,28871
2.644833626367652,0
2.68820443627449,34521
2.731575246181328,47469
2.774946056088166,0
2.818316865995004,49596
2.861687675901842,40844
2.90505848580868,69748
2.948429295715518,0
2.9918001056223558,39782
3.0351709155291933,54426
3.078541725436031,37680
3.121912535342869,36916
3.165283345249707,32756
3.208654155156545,51072
3.252024965063383,31968
3.295395774970221,51146
3.338766584877059,26576
3.382137394783897,20311
3.425508204690735,50456
3.4688790145975728,20927
3.5122498245044107,33449
3.5556206344112486,16691
3.5989914443180866,38657
3.6423622542249245,14121
3.6857330641317625,30213
3.7291038740386004,30398
3.7724746839454384,25153
3.8158454938522763,23539
3.8592163037591143,27745
3.9025871136659522,21122
3.9459579235727897,30046
3.9893287334796277,22876
4.032699543386466,18828
4.076070353293304,30455
4.1194411632001415,23799
4.1628119731069795,27617
4.206182783013817,22480
4.249553592920655,26026
4.292924402827493,20069
4.336295212734331,23444
4.379666022641169,26220
4.423036832548007,27109
4.466407642454845,17349
4.509778452361683,25343
4.553149262268521,29047
4.596520072175359,22959
4.639890882082197,23416
4.683261691989035,21105
4.726632501895873,24465
4.770003311802711,27139
4.813374121709549,22216
4.856744931616387,25037
4.900115741523225,24362
4.9434865514300625,23790
4.9868573613369005,22867
5.0302281712437384,25116
5.073598981150576,23712
5.116969791057414,25271
5.160340600964252,25187
5.20371141087109,25439
5.247082220777928,22059
5.290453030684766,25721
5.333823840591603,22414
5.377194650498441,25494
5.420565460405279,24225
5.463936270312117,22395
5.507307080218955,24685
5.550677890125793,23593
5.594048700032631,24637
5.637419509939469,25972
5.680790319846307,24921
5.724161129753145,24780
5.767531939659983,25298
5.810902749566821,26495
5.854273559473659,27727
5.8976443693804965,27375
5.9410151792873345,28046
5.984385989194172,27106
6.02775679910101,30559
6.071127609007848,29776
6.114498418914686,31108
6.157869228821524,32237
6.201240038728362,33421
6.2446108486352,34841
6.287981658542038,34919
6.331352468448876,37901
6.374723278355714,38536
6.418094088262552,39755
6.46146489816939,41119
6.504835708076228,39223
6.548206517983066,39517
6.591577327889904,39481
6.634948137796742,36447
6.67831894770358,36337
6.7216897576104175,33948
6.7650605675172555,31300
6.808431377424093,30005
6.851802187330931,28712
6.895172997237769,27463
6.938543807144607,26421
6.981914617051445,26160
7.025285426958283,25664
7.068656236865121,25814
7.112027046771959,26000
7.155397856678797,25386
7.198768666585634,25653
7.242139476492472,25372
7.28551028639931,24182
7.328881096306148,23804
7.372251906212986,22899
7.415622716119824,22100
7.458993526026662,20735
7.5023643359335,19774
7.545735145840338,18856
7.589105955747176,17593
7.632476765654014,16602
7.6758475755608515,15591
7.7192183854676895,14344
7.762589195374527,13506
7.805960005281365,12679
7.849330815188203,11462
7.892701625095041,10784
7.936072435001879,9720
7.979443244908717,8986
8.022814054815555,8143
8.066184864722393,7488
8.109555674629231,6868
8.152926484536069,6419
8.196297294442907,5478
8.239668104349745,4979
8.283038914256583,4545
8.32640972416342,4123
8.369780534070259,3595
8.413151343977097,3154
8.456522153883935,2817
8.499892963790773,2544
8.54326377369761,2203
8.586634583604448,1915
8.630005393511286,1608
8.673376203418124,1494
8.716747013324962,1278
8.7601178232318,1117
