YEAR,AIRCRAFT_CONFIG_DESC,LOG_GROUND_TIME,Statistic
2019,Freight Configuration,0.7931471805599453,lower_bound
2019,Freight Configuration,3.1780538303479458,Q1
2019,Freight Configuration,4.727387818712341,median
2019,Freight Configuration,5.805134968916488,Q3
2019,Freight Configuration,9.307796816354408,upper_bound
2019,Passenger Configuration,0.7931471805599453,lower_bound
2019,Passenger Configuration,3.58351893845611,Q1
2019,Passenger Configuration,5.375278407684165,median
2019,Passenger Configuration,6.739336627357174,Q3
2019,Passenger Configuration,9.685154365574263,upper_bound
2019,Seaplane,0.7931471805599453,lower_bound
2019,Seaplane,1.6094379124341003,Q1
2019,Seaplane,2.3978952727983707,median
2019,Seaplane,3.4339872044851463,Q3
2019,Seaplane,6.170811142561716,upper_bound
2020,Combined Passenger and Freight on a main deck,0.7931471805599453,lower_bound
2020,Combined Passenger and Freight on a main deck,1.6094379124341003,Q1
2020,Combined Passenger and Freight on a main deck,2.3978952727983707,median
2020,Combined Passenger and Freight on a main deck,3.4339872044851463,Q3
2020,Combined Passenger and Freight on a main deck,6.170811142561716,upper_bound
2020,Freight Configuration,0.7931471805599453,lower_bound
2020,Freight Configuration,3.1354942159291497,Q1
2020,Freight Configuration,4.624972813284271,median
2020,Freight Configuration,5.752572638825633,Q3
2020,Freight Configuration,9.678190273170358,upper_bound
2020,Passenger Configuration,0.7931471805599453,lower_bound
2020,Passenger Configuration,3.4011973816621555,Q1
2020,Passenger Configuration,5.075173815233827,median
2020,Passenger Configuration,6.470799503782602,Q3
2020,Passenger Configuration,9.612084887005981,upper_bound
2020,Seaplane,0.7931471805599453,lower_bound
2020,Seaplane,1.791759469228055,Q1
2020,Seaplane,2.3978952727983707,median
2020,Seaplane,3.2188758248682006,Q3
2020,Seaplane,5.359550358328419,upper_bound
2021,Combined Passenger and Freight on a main deck,0.7931471805599453,lower_bound
2021,Combined Passenger and Freight on a main deck,1.6094379124341003,Q1
